Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Diana,Mayor_Diaz,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Price_Change_Percent
2025-09-10 00:00:00,613.9,1,0,0,0,0,0,0,0.0
2025-09-10 01:00:00,614.0,1,0,0,0,0,0,0,0.02
2025-09-10 02:00:00,613.2,1,0,0,0,0,0,0,-0.13
2025-09-10 03:00:00,613.6,1,0,0,0,0,0,0,0.07
2025-09-10 04:00:00,612.9,1,0,0,0,0,0,0,-0.11
2025-09-10 05:00:00,613.0,1,0,0,0,0,0,0,0.02
2025-09-10 06:00:00,612.8,1,0,0,0,0,0,0,-0.03
2025-09-10 07:00:00,613.0,1,0,0,0,0,0,0,0.03
2025-09-10 08:00:00,613.0,1,0,0,0,0,0,0,0.0
2025-09-10 09:00:00,612.8,1,0,0,0,0,0,0,-0.03
2025-09-10 10:00:00,612.7,1,0,0,0,0,0,0,-0.02
2025-09-10 11:00:00,612.7,1,0,0,0,0,0,0,0.0
2025-09-10 12:00:00,612.2,1,0,0,0,0,0,0,-0.08
2025-09-10 13:00:00,612.8,1,0,0,0,0,0,0,0.1
2025-09-10 14:00:00,612.2,1,0,0,0,0,0,0,-0.1
2025-09-10 15:00:00,612.7,1,0,0,0,0,0,0,0.08
2025-09-10 16:00:00,613.0,1,0,0,0,0,0,0,0.05
2025-09-10 17:00:00,612.5,1,0,0,0,0,0,0,-0.08
2025-09-10 18:00:00,615.2,1,0,0,0,0,0,0,0.44
2025-09-10 19:00:00,615.6,1,0,0,0,0,0,0,0.07
2025-09-10 20:00:00,615.4,1,0,0,0,0,0,0,-0.03
2025-09-10 21:00:00,615.1,1,0,0,0,0,0,0,-0.05
2025-09-10 22:00:00,613.0,1,0,0,0,0,0,0,-0.34
2025-09-10 23:00:00,613.2,1,0,0,0,0,0,0,0.03
2025-09-11 00:00:00,612.6,1,0,0,0,0,0,0,-0.1
2025-09-11 01:00:00,612.6,1,0,0,0,0,0,0,0.0
2025-09-11 02:00:00,613.0,1,0,0,0,0,0,0,0.07
2025-09-11 03:00:00,613.0,1,0,0,0,0,0,0,0.0
2025-09-11 04:00:00,613.1,1,0,0,0,0,0,0,0.02
2025-09-11 05:00:00,613.6,1,0,0,0,0,0,0,0.08
2025-09-11 06:00:00,613.6,1,0,0,0,0,0,0,0.0
2025-09-11 07:00:00,615.1,1,0,0,0,0,0,0,0.24
2025-09-11 08:00:00,615.2,1,0,0,0,0,0,0,0.02
2025-09-11 09:00:00,615.8,1,0,0,0,0,0,0,0.1
2025-09-11 10:00:00,615.5,1,0,0,0,0,0,0,-0.05
2025-09-11 11:00:00,615.5,1,0,0,0,0,0,0,0.0
2025-09-11 12:00:00,615.8,1,0,0,0,0,0,0,0.05
2025-09-11 13:00:00,615.7,1,0,0,0,0,0,0,-0.02
2025-09-11 14:00:00,617.2,1,0,0,0,0,0,0,0.24
2025-09-11 15:00:00,617.5,1,0,0,0,0,0,0,0.05
2025-09-11 16:00:00,617.9,1,0,0,0,0,0,0,0.06
2025-09-11 17:00:00,615.3,1,0,0,0,0,0,0,-0.42
2025-09-11 18:00:00,615.6,1,0,0,0,0,0,0,0.05
2025-09-11 19:00:00,616.4,1,0,0,0,0,0,0,0.13
2025-09-11 20:00:00,581.1,1,0,0,0,0,0,0,-5.73
2025-09-11 21:00:00,582.5,1,0,0,0,0,0,0,0.24
2025-09-11 22:00:00,583.3,1,0,0,0,0,0,0,0.14
2025-09-11 23:00:00,584.3,1,0,0,0,0,0,0,0.17
2025-09-12 00:00:00,584.3,1,0,0,0,0,0,0,0.0
2025-09-12 01:00:00,589.3,1,0,0,0,0,0,0,0.86
2025-09-12 02:00:00,589.9,1,0,0,0,0,0,0,0.1
2025-09-12 03:00:00,589.9,1,0,0,0,0,0,0,0.0
2025-09-12 04:00:00,590.3,1,0,0,0,0,0,0,0.07
2025-09-12 05:00:00,590.3,1,0,0,0,0,0,0,0.0
2025-09-12 06:00:00,591.5,1,0,0,0,0,0,0,0.2
2025-09-12 07:00:00,592.5,1,0,0,0,0,0,0,0.17
2025-09-12 08:00:00,592.9,1,0,0,0,0,0,0,0.07
2025-09-12 09:00:00,602.5,1,0,0,0,0,0,0,1.62
2025-09-12 10:00:00,603.2,1,0,0,0,0,0,0,0.12
2025-09-12 11:00:00,603.9,1,0,0,0,0,0,0,0.12
2025-09-12 12:00:00,603.8,1,0,0,0,0,0,0,-0.02
2025-09-12 13:00:00,606.0,1,0,0,0,0,0,0,0.36
2025-09-12 14:00:00,602.4,1,0,0,0,0,0,0,-0.59
2025-09-12 15:00:00,602.8,1,0,0,0,0,0,0,0.07
2025-09-12 16:00:00,602.8,0,0,0,1,0,0,0,0.0
2025-09-12 17:00:00,604.2,0,0,0,1,0,0,0,0.23
2025-09-12 18:00:00,603.4,0,0,0,1,0,0,0,-0.13
2025-09-12 19:00:00,603.1,0,0,0,1,0,0,0,-0.05
2025-09-12 20:00:00,603.8,0,0,0,1,0,0,0,0.12
2025-09-12 21:00:00,603.7,0,0,0,1,0,0,0,-0.02
2025-09-12 22:00:00,603.3,0,0,0,1,0,0,0,-0.07
2025-09-12 23:00:00,592.6,0,0,0,1,0,0,0,-1.77
2025-09-13 00:00:00,599.0,0,0,0,1,0,0,0,1.08
2025-09-13 01:00:00,597.1,0,0,0,1,0,0,0,-0.32
2025-09-13 02:00:00,594.6,0,0,0,1,0,0,0,-0.42
2025-09-13 03:00:00,583.3,0,0,0,1,0,0,0,-1.9
2025-09-13 04:00:00,582.9,0,0,0,1,0,0,0,-0.07
2025-09-13 05:00:00,582.9,0,0,0,1,0,0,0,0.0
2025-09-13 06:00:00,584.2,0,0,0,1,0,0,0,0.22
2025-09-13 07:00:00,584.6,0,0,0,1,0,0,0,0.07
2025-09-13 08:00:00,587.5,0,0,0,1,0,0,0,0.5
2025-09-13 09:00:00,588.3,0,0,0,1,0,0,0,0.14
2025-09-13 10:00:00,589.3,0,0,0,1,0,0,0,0.17
2025-09-13 11:00:00,589.6,0,0,0,1,0,0,0,0.05
2025-09-13 12:00:00,589.4,0,0,0,1,0,0,0,-0.03
2025-09-13 13:00:00,589.3,0,0,0,1,0,0,0,-0.02
2025-09-13 14:00:00,590.8,0,0,0,1,0,0,0,0.25
2025-09-13 15:00:00,594.1,0,0,0,1,0,0,0,0.56
2025-09-13 16:00:00,590.9,0,0,0,1,0,0,0,-0.54
2025-09-13 17:00:00,588.4,0,0,0,1,0,0,0,-0.42
2025-09-13 18:00:00,588.5,0,0,0,1,0,0,0,0.02
2025-09-13 19:00:00,589.1,0,0,0,1,0,0,0,0.1
2025-09-13 20:00:00,603.0,0,0,0,1,0,0,0,2.36
2025-09-13 21:00:00,607.5,0,0,0,1,0,0,0,0.75
2025-09-13 22:00:00,616.0,0,0,0,1,0,0,0,1.4
2025-09-13 23:00:00,619.3,0,0,0,1,0,0,0,0.54
2025-09-14 00:00:00,629.5,0,0,0,1,0,0,0,1.65
2025-09-14 01:00:00,634.2,0,0,0,1,0,0,0,0.75
2025-09-14 02:00:00,637.4,0,0,0,1,0,0,0,0.5
2025-09-14 03:00:00,640.2,0,0,0,1,0,0,0,0.44
2025-09-14 04:00:00,641.7,0,0,0,1,0,0,0,0.23
2025-09-14 05:00:00,642.0,0,0,0,1,0,0,0,0.05
2025-09-14 06:00:00,641.9,0,0,0,1,0,0,0,-0.02
2025-09-14 07:00:00,642.7,0,0,0,1,0,0,0,0.12
2025-09-14 08:00:00,642.7,0,0,0,1,0,0,0,0.0
2025-09-14 09:00:00,648.6,0,0,0,1,0,0,0,0.92
2025-09-14 10:00:00,648.8,0,0,0,1,0,0,0,0.03
2025-09-14 11:00:00,657.6,0,0,0,1,0,0,0,1.36
2025-09-14 12:00:00,659.3,0,0,0,1,0,0,0,0.26
2025-09-14 13:00:00,665.5,0,0,0,1,0,0,0,0.94
2025-09-14 14:00:00,673.6,0,0,0,1,0,0,0,1.22
2025-09-14 15:00:00,674.8,0,0,0,1,0,0,0,0.18
2025-09-14 16:00:00,675.2,0,0,0,1,0,0,0,0.06
2025-09-14 17:00:00,676.9,0,0,0,1,0,0,0,0.25
2025-09-14 18:00:00,677.9,0,0,0,1,0,0,0,0.15
2025-09-14 19:00:00,678.3,0,0,0,1,0,0,0,0.06
2025-09-14 20:00:00,679.0,0,0,0,1,0,0,0,0.1
2025-09-14 21:00:00,678.5,0,0,0,1,0,0,0,-0.07
2025-09-14 22:00:00,679.0,0,0,0,1,0,0,0,0.07
2025-09-14 23:00:00,679.4,0,0,0,1,0,0,0,0.06
2025-09-15 00:00:00,679.5,0,0,0,1,0,0,0,0.01
2025-09-15 01:00:00,680.2,0,0,0,1,0,0,0,0.1
2025-09-15 02:00:00,682.8,0,0,0,1,0,0,0,0.38
2025-09-15 03:00:00,682.5,0,0,0,1,0,0,0,-0.04
2025-09-15 04:00:00,678.1,0,0,0,1,0,0,0,-0.64
2025-09-15 05:00:00,683.6,0,0,0,1,0,0,0,0.81
2025-09-15 06:00:00,700.0,0,0,0,1,0,0,0,2.4
2025-09-15 07:00:00,716.9,0,0,0,1,0,0,0,2.41
2025-09-15 08:00:00,699.8,0,0,0,1,0,0,0,-2.39
2025-09-15 09:00:00,699.8,0,0,0,1,0,0,0,0.0
2025-09-15 10:00:00,700.1,0,0,0,1,0,0,0,0.04
2025-09-15 11:00:00,700.1,0,0,0,1,0,0,0,0.0
2025-09-15 12:00:00,696.4,0,0,0,1,0,0,0,-0.53
2025-09-15 13:00:00,696.7,0,0,0,1,0,0,0,0.04
2025-09-15 14:00:00,697.1,0,0,0,1,0,0,0,0.06
2025-09-15 15:00:00,697.0,0,0,0,1,0,0,0,-0.01
2025-09-15 16:00:00,699.9,0,0,0,1,0,0,0,0.42
2025-09-15 17:00:00,696.4,0,0,0,1,0,0,0,-0.5
2025-09-15 18:00:00,696.9,0,0,0,1,0,0,0,0.07
2025-09-15 19:00:00,700.0,0,0,0,1,0,0,0,0.44
2025-09-15 20:00:00,696.8,0,0,0,1,0,0,0,-0.46
2025-09-15 21:00:00,699.1,0,0,0,1,0,0,0,0.33
2025-09-15 22:00:00,679.1,0,0,0,1,0,0,0,-2.86
2025-09-15 23:00:00,679.2,0,0,0,1,0,0,0,0.01
2025-09-16 00:00:00,681.9,0,0,0,1,0,0,0,0.4
2025-09-16 01:00:00,678.3,0,0,0,1,0,0,0,-0.53
2025-09-16 02:00:00,678.9,0,0,0,1,0,0,0,0.09
2025-09-16 03:00:00,679.1,0,0,0,1,0,0,0,0.03
2025-09-16 04:00:00,678.8,0,0,0,1,0,0,0,-0.04
2025-09-16 05:00:00,677.9,0,0,0,1,0,0,0,-0.13
2025-09-16 06:00:00,669.4,0,0,0,1,0,0,0,-1.25
2025-09-16 08:00:00,617.6,0,0,0,1,0,0,0,-7.74
2025-09-16 09:00:00,618.4,0,0,0,1,0,0,0,0.13
2025-09-16 10:00:00,620.3,0,0,0,1,0,0,0,0.31
2025-09-16 11:00:00,622.0,0,0,0,1,0,0,0,0.27
2025-09-16 12:00:00,622.8,0,0,0,1,0,0,0,0.13
2025-09-16 13:00:00,623.5,0,0,0,1,0,0,0,0.11
2025-09-16 14:00:00,629.3,0,0,0,1,0,0,0,0.93
2025-09-16 15:00:00,634.6,0,0,0,1,0,0,0,0.84
2025-09-16 16:00:00,636.9,0,0,0,1,0,0,0,0.36
2025-09-16 17:00:00,651.4,0,0,0,1,0,0,0,2.28
2025-09-16 18:00:00,635.6,0,0,0,1,0,0,0,-2.43
2025-09-16 19:00:00,635.9,0,0,0,1,0,0,0,0.05
2025-09-16 20:00:00,636.8,0,0,0,1,0,0,0,0.14
2025-09-16 21:00:00,637.0,0,0,0,1,0,0,0,0.03
2025-09-16 22:00:00,635.9,0,0,0,1,0,0,0,-0.17
2025-09-16 23:00:00,636.2,0,0,0,1,0,0,0,0.05
2025-09-17 00:00:00,623.8,0,0,0,1,0,0,0,-1.95
2025-09-17 01:00:00,624.2,0,0,0,1,0,0,0,0.06
2025-09-17 02:00:00,623.6,0,0,0,1,0,0,0,-0.1
2025-09-17 03:00:00,622.2,0,0,0,1,0,0,0,-0.22
2025-09-17 04:00:00,626.2,0,0,0,1,0,0,0,0.64
2025-09-17 05:00:00,622.2,0,0,0,1,0,0,0,-0.64
2025-09-17 06:00:00,622.2,0,0,0,1,0,0,0,0.0
2025-09-17 07:00:00,625.7,0,0,0,1,0,0,0,0.56
2025-09-17 08:00:00,639.9,0,0,0,1,0,0,0,2.27
2025-09-17 09:00:00,633.6,0,0,0,1,0,0,0,-0.98
2025-09-17 10:00:00,633.9,0,0,0,1,0,0,0,0.05
2025-09-17 11:00:00,633.7,0,0,0,1,0,0,0,-0.03
2025-09-17 12:00:00,630.2,0,0,0,1,0,0,0,-0.55
2025-09-17 13:00:00,630.5,0,0,0,1,0,0,0,0.05
2025-09-17 14:00:00,630.1,0,0,0,1,0,0,0,-0.06
2025-09-17 15:00:00,630.7,0,0,0,1,0,0,0,0.1
2025-09-17 16:00:00,632.0,0,0,0,1,0,0,0,0.21
2025-09-17 17:00:00,633.0,0,0,0,1,0,0,0,0.16
2025-09-17 18:00:00,640.7,0,0,0,1,0,0,0,1.22
2025-09-17 19:00:00,641.3,0,0,0,1,0,0,0,0.09
2025-09-17 20:00:00,641.6,0,0,0,0,0,0,1,0.05
2025-09-17 21:00:00,642.4,0,0,0,0,0,0,1,0.12
2025-09-17 22:00:00,646.1,0,0,0,0,0,0,1,0.58
2025-09-17 23:00:00,646.6,0,0,0,0,0,0,1,0.08
2025-09-18 00:00:00,648.3,0,0,0,0,0,0,1,0.26
2025-09-18 01:00:00,650.8,0,0,0,0,0,0,1,0.39
2025-09-18 02:00:00,653.6,0,0,0,0,0,0,1,0.43
2025-09-18 03:00:00,654.5,0,0,0,0,0,0,1,0.14
2025-09-18 04:00:00,656.8,0,0,0,0,0,0,1,0.35
2025-09-18 05:00:00,657.5,0,0,0,0,0,0,1,0.11
2025-09-18 06:00:00,657.4,0,0,0,0,0,0,1,-0.02
2025-09-18 07:00:00,658.2,0,0,0,0,0,0,1,0.12
2025-09-18 08:00:00,663.3,0,0,0,0,0,0,1,0.77
2025-09-18 09:00:00,663.7,0,0,0,0,0,0,1,0.06
2025-09-18 10:00:00,664.0,0,0,0,0,0,0,1,0.05
2025-09-18 11:00:00,665.1,0,0,0,0,0,0,1,0.17
2025-09-18 12:00:00,666.5,0,0,0,0,0,0,1,0.21
2025-09-18 13:00:00,667.6,0,0,0,0,0,0,1,0.17
2025-09-18 14:00:00,668.3,0,0,0,0,0,0,1,0.1
2025-09-18 15:00:00,671.1,0,0,0,0,0,0,1,0.42
2025-09-18 16:00:00,674.5,0,0,0,0,0,0,1,0.51
2025-09-18 17:00:00,675.9,0,0,0,0,0,0,1,0.21
2025-09-18 18:00:00,676.4,0,0,0,0,0,0,1,0.07
2025-09-18 19:00:00,679.6,0,0,0,0,0,0,1,0.47
2025-09-18 20:00:00,686.0,0,0,0,0,0,0,1,0.94
2025-09-18 21:00:00,690.4,0,0,0,0,0,0,1,0.64
2025-09-18 22:00:00,691.1,0,0,0,0,0,0,1,0.1
2025-09-18 23:00:00,690.7,0,0,0,0,0,0,1,-0.06
2025-09-19 00:00:00,691.0,0,0,0,0,0,0,1,0.04
2025-09-19 01:00:00,689.5,0,0,0,0,0,0,1,-0.22
2025-09-19 02:00:00,689.7,0,0,0,0,0,0,1,0.03
2025-09-19 03:00:00,683.1,0,0,0,0,0,0,1,-0.96
2025-09-19 04:00:00,683.4,0,0,0,0,0,0,1,0.04
2025-09-19 05:00:00,683.5,0,0,0,0,0,0,1,0.01
2025-09-19 06:00:00,683.9,0,0,0,0,0,0,1,0.06
2025-09-19 07:00:00,683.9,0,0,0,0,0,0,1,0.0
2025-09-19 08:00:00,687.1,0,0,0,0,0,0,1,0.47
2025-09-19 09:00:00,687.4,0,0,0,0,0,0,1,0.04
2025-09-19 10:00:00,687.4,0,0,0,0,0,0,1,0.0
2025-09-19 11:00:00,687.3,0,0,0,0,0,0,1,-0.01
2025-09-19 12:00:00,688.4,0,0,0,0,0,0,1,0.16
2025-09-19 13:00:00,691.1,0,0,0,0,0,0,1,0.39
2025-09-19 14:00:00,691.0,0,0,0,0,0,0,1,-0.01
2025-09-19 15:00:00,670.6,0,0,0,0,0,0,1,-2.95
2025-09-19 16:00:00,657.3,0,0,0,0,0,0,1,-1.98
2025-09-19 17:00:00,658.7,0,0,0,0,0,0,1,0.21
2025-09-19 18:00:00,660.2,0,0,0,0,0,0,1,0.23
2025-09-19 19:00:00,663.8,0,0,0,0,0,0,1,0.55
2025-09-19 20:00:00,665.1,0,0,0,0,0,0,1,0.2
2025-09-19 21:00:00,666.5,0,0,0,0,0,0,1,0.21
2025-09-19 22:00:00,668.1,0,0,0,0,0,0,1,0.24
2025-09-19 23:00:00,668.2,0,0,0,0,0,0,1,0.01
2025-09-20 00:00:00,665.8,0,0,0,0,0,0,1,-0.36
2025-09-20 01:00:00,666.7,0,0,0,0,0,0,1,0.14
2025-09-20 02:00:00,667.4,0,0,0,0,0,0,1,0.1
2025-09-20 03:00:00,668.1,0,0,0,0,0,0,1,0.1
2025-09-20 04:00:00,665.7,0,0,0,0,0,0,1,-0.36
2025-09-20 05:00:00,666.0,0,0,0,0,0,0,1,0.05
2025-09-20 06:00:00,660.4,0,0,0,0,0,0,1,-0.84
2025-09-20 07:00:00,660.0,0,0,0,0,0,0,1,-0.06
2025-09-20 08:00:00,657.6,0,0,0,0,0,0,1,-0.36
