Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Diana,Mayor_Diaz,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Price_Change_Percent
2025-09-10 00:00:00,2818.6,1,0,0,0,0,0,0,0.0
2025-09-10 01:00:00,2819.3,1,0,0,0,0,0,0,0.02
2025-09-10 02:00:00,2819.5,1,0,0,0,0,0,0,0.01
2025-09-10 03:00:00,2819.8,1,0,0,0,0,0,0,0.01
2025-09-10 04:00:00,2819.8,1,0,0,0,0,0,0,0.0
2025-09-10 05:00:00,2874.2,1,0,0,0,0,0,0,1.93
2025-09-10 06:00:00,2895.4,1,0,0,0,0,0,0,0.74
2025-09-10 07:00:00,2900.8,1,0,0,0,0,0,0,0.19
2025-09-10 08:00:00,2917.2,1,0,0,0,0,0,0,0.57
2025-09-10 09:00:00,2901.5,1,0,0,0,0,0,0,-0.54
2025-09-10 10:00:00,2901.7,1,0,0,0,0,0,0,0.01
2025-09-10 11:00:00,2902.2,1,0,0,0,0,0,0,0.02
2025-09-10 12:00:00,2902.1,1,0,0,0,0,0,0,-0.0
2025-09-10 13:00:00,2902.3,1,0,0,0,0,0,0,0.01
2025-09-10 14:00:00,2902.0,1,0,0,0,0,0,0,-0.01
2025-09-10 15:00:00,2902.7,1,0,0,0,0,0,0,0.02
2025-09-10 16:00:00,2902.7,1,0,0,0,0,0,0,0.0
2025-09-10 17:00:00,2910.3,1,0,0,0,0,0,0,0.26
2025-09-10 18:00:00,2904.2,1,0,0,0,0,0,0,-0.21
2025-09-10 19:00:00,2905.0,1,0,0,0,0,0,0,0.03
2025-09-10 20:00:00,2911.5,1,0,0,0,0,0,0,0.22
2025-09-10 21:00:00,2912.0,1,0,0,0,0,0,0,0.02
2025-09-10 22:00:00,2913.0,1,0,0,0,0,0,0,0.03
2025-09-10 23:00:00,2914.7,1,0,0,0,0,0,0,0.06
2025-09-11 00:00:00,2915.4,1,0,0,0,0,0,0,0.02
2025-09-11 01:00:00,2915.4,1,0,0,0,0,0,0,0.0
2025-09-11 02:00:00,2916.5,1,0,0,0,0,0,0,0.04
2025-09-11 03:00:00,2918.4,1,0,0,0,0,0,0,0.07
2025-09-11 04:00:00,2918.5,1,0,0,0,0,0,0,0.0
2025-09-11 05:00:00,2919.0,1,0,0,0,0,0,0,0.02
2025-09-11 06:00:00,2919.2,1,0,0,0,0,0,0,0.01
2025-09-11 07:00:00,2918.4,1,0,0,0,0,0,0,-0.03
2025-09-11 08:00:00,2918.2,1,0,0,0,0,0,0,-0.01
2025-09-11 09:00:00,2916.3,1,0,0,0,0,0,0,-0.07
2025-09-11 10:00:00,2915.3,1,0,0,0,0,0,0,-0.03
2025-09-11 11:00:00,2915.3,1,0,0,0,0,0,0,0.0
2025-09-11 12:00:00,2913.0,1,0,0,0,0,0,0,-0.08
2025-09-11 13:00:00,2912.9,1,0,0,0,0,0,0,-0.0
2025-09-11 14:00:00,2913.2,1,0,0,0,0,0,0,0.01
2025-09-11 15:00:00,2913.1,1,0,0,0,0,0,0,-0.0
2025-09-11 16:00:00,2912.8,1,0,0,0,0,0,0,-0.01
2025-09-11 17:00:00,2911.8,1,0,0,0,0,0,0,-0.03
2025-09-11 18:00:00,2800.2,1,0,0,0,0,0,0,-3.83
2025-09-11 19:00:00,2810.7,1,0,0,0,0,0,0,0.37
2025-09-11 20:00:00,2587.6,1,0,0,0,0,0,0,-7.94
2025-09-11 21:00:00,2598.8,1,0,0,0,0,0,0,0.43
2025-09-11 22:00:00,2600.5,1,0,0,0,0,0,0,0.07
2025-09-11 23:00:00,2591.1,1,0,0,0,0,0,0,-0.36
2025-09-12 00:00:00,2592.4,1,0,0,0,0,0,0,0.05
2025-09-12 01:00:00,2595.8,1,0,0,0,0,0,0,0.13
2025-09-12 02:00:00,2597.7,1,0,0,0,0,0,0,0.07
2025-09-12 03:00:00,2599.7,1,0,0,0,0,0,0,0.08
2025-09-12 04:00:00,2602.5,1,0,0,0,0,0,0,0.11
2025-09-12 05:00:00,2603.0,1,0,0,0,0,0,0,0.02
2025-09-12 06:00:00,2603.5,1,0,0,0,0,0,0,0.02
2025-09-12 07:00:00,2604.8,1,0,0,0,0,0,0,0.05
2025-09-12 08:00:00,2605.8,1,0,0,0,0,0,0,0.04
2025-09-12 09:00:00,2607.1,1,0,0,0,0,0,0,0.05
2025-09-12 10:00:00,2609.8,1,0,0,0,0,0,0,0.1
2025-09-12 11:00:00,2611.3,1,0,0,0,0,0,0,0.06
2025-09-12 12:00:00,2612.8,1,0,0,0,0,0,0,0.06
2025-09-12 13:00:00,2613.2,1,0,0,0,0,0,0,0.02
2025-09-12 14:00:00,2614.0,1,0,0,0,0,0,0,0.03
2025-09-12 15:00:00,2633.1,1,0,0,0,0,0,0,0.73
2025-09-12 16:00:00,2634.4,0,0,0,1,0,0,0,0.05
2025-09-12 17:00:00,2636.7,0,0,0,1,0,0,0,0.09
2025-09-12 18:00:00,2658.0,0,0,0,1,0,0,0,0.81
2025-09-12 19:00:00,2658.8,0,0,0,1,0,0,0,0.03
2025-09-12 20:00:00,2658.9,0,0,0,1,0,0,0,0.0
2025-09-12 21:00:00,2664.8,0,0,0,1,0,0,0,0.22
2025-09-12 22:00:00,2665.0,0,0,0,1,0,0,0,0.01
2025-09-12 23:00:00,2665.4,0,0,0,1,0,0,0,0.02
2025-09-13 00:00:00,2665.0,0,0,0,1,0,0,0,-0.02
2025-09-13 01:00:00,2665.4,0,0,0,1,0,0,0,0.02
2025-09-13 02:00:00,2665.9,0,0,0,1,0,0,0,0.02
2025-09-13 03:00:00,2658.4,0,0,0,1,0,0,0,-0.28
2025-09-13 04:00:00,2658.7,0,0,0,1,0,0,0,0.01
2025-09-13 05:00:00,2636.9,0,0,0,1,0,0,0,-0.82
2025-09-13 06:00:00,2633.2,0,0,0,1,0,0,0,-0.14
2025-09-13 07:00:00,2633.4,0,0,0,1,0,0,0,0.01
2025-09-13 08:00:00,2634.5,0,0,0,1,0,0,0,0.04
2025-09-13 09:00:00,2634.4,0,0,0,1,0,0,0,-0.0
2025-09-13 10:00:00,2634.7,0,0,0,1,0,0,0,0.01
2025-09-13 11:00:00,2641.4,0,0,0,1,0,0,0,0.25
2025-09-13 12:00:00,2649.3,0,0,0,1,0,0,0,0.3
2025-09-13 13:00:00,2650.4,0,0,0,1,0,0,0,0.04
2025-09-13 14:00:00,2649.4,0,0,0,1,0,0,0,-0.04
2025-09-13 15:00:00,2649.0,0,0,0,1,0,0,0,-0.02
2025-09-13 16:00:00,2649.2,0,0,0,1,0,0,0,0.01
2025-09-13 17:00:00,2642.6,0,0,0,1,0,0,0,-0.25
2025-09-13 18:00:00,2666.6,0,0,0,1,0,0,0,0.91
2025-09-13 19:00:00,2678.8,0,0,0,1,0,0,0,0.46
2025-09-13 20:00:00,2683.3,0,0,0,1,0,0,0,0.17
2025-09-13 21:00:00,2687.2,0,0,0,1,0,0,0,0.15
2025-09-13 22:00:00,2692.4,0,0,0,1,0,0,0,0.19
2025-09-13 23:00:00,2693.5,0,0,0,1,0,0,0,0.04
2025-09-14 00:00:00,2696.0,0,0,0,1,0,0,0,0.09
2025-09-14 01:00:00,2701.3,0,0,0,1,0,0,0,0.2
2025-09-14 02:00:00,2702.7,0,0,0,1,0,0,0,0.05
2025-09-14 03:00:00,2707.0,0,0,0,1,0,0,0,0.16
2025-09-14 04:00:00,2709.6,0,0,0,1,0,0,0,0.1
2025-09-14 05:00:00,2713.4,0,0,0,1,0,0,0,0.14
2025-09-14 06:00:00,2801.5,0,0,0,1,0,0,0,3.25
2025-09-14 07:00:00,2803.3,0,0,0,1,0,0,0,0.06
2025-09-14 08:00:00,2875.9,0,0,0,1,0,0,0,2.59
2025-09-14 09:00:00,2812.9,0,0,0,1,0,0,0,-2.19
2025-09-14 10:00:00,2813.1,0,0,0,1,0,0,0,0.01
2025-09-14 11:00:00,2814.9,0,0,0,1,0,0,0,0.06
2025-09-14 12:00:00,2816.9,0,0,0,1,0,0,0,0.07
2025-09-14 13:00:00,2835.9,0,0,0,1,0,0,0,0.67
2025-09-14 14:00:00,2847.6,0,0,0,1,0,0,0,0.41
2025-09-14 15:00:00,2858.5,0,0,0,1,0,0,0,0.38
2025-09-14 16:00:00,2861.8,0,0,0,1,0,0,0,0.12
2025-09-14 17:00:00,2871.1,0,0,0,1,0,0,0,0.32
2025-09-14 18:00:00,2875.7,0,0,0,1,0,0,0,0.16
2025-09-14 19:00:00,2881.2,0,0,0,1,0,0,0,0.19
2025-09-14 20:00:00,2883.0,0,0,0,1,0,0,0,0.06
2025-09-14 21:00:00,2883.1,0,0,0,1,0,0,0,0.0
2025-09-14 22:00:00,2883.9,0,0,0,1,0,0,0,0.03
2025-09-14 23:00:00,2883.3,0,0,0,1,0,0,0,-0.02
2025-09-15 00:00:00,2881.7,0,0,0,1,0,0,0,-0.06
2025-09-15 01:00:00,2878.7,0,0,0,1,0,0,0,-0.1
2025-09-15 02:00:00,2879.5,0,0,0,1,0,0,0,0.03
2025-09-15 03:00:00,2880.2,0,0,0,1,0,0,0,0.02
2025-09-15 04:00:00,2878.4,0,0,0,1,0,0,0,-0.06
2025-09-15 05:00:00,2878.3,0,0,0,1,0,0,0,-0.0
2025-09-15 06:00:00,2878.6,0,0,0,1,0,0,0,0.01
2025-09-15 07:00:00,2878.8,0,0,0,1,0,0,0,0.01
2025-09-15 08:00:00,2879.2,0,0,0,1,0,0,0,0.01
2025-09-15 09:00:00,2879.1,0,0,0,1,0,0,0,-0.0
2025-09-15 10:00:00,2879.4,0,0,0,1,0,0,0,0.01
2025-09-15 11:00:00,2879.0,0,0,0,1,0,0,0,-0.01
2025-09-15 12:00:00,2879.4,0,0,0,1,0,0,0,0.01
2025-09-15 13:00:00,2879.6,0,0,0,1,0,0,0,0.01
2025-09-15 14:00:00,2882.7,0,0,0,1,0,0,0,0.11
2025-09-15 15:00:00,2879.5,0,0,0,1,0,0,0,-0.11
2025-09-15 16:00:00,2877.4,0,0,0,1,0,0,0,-0.07
2025-09-15 17:00:00,2717.3,0,0,0,1,0,0,0,-5.56
2025-09-15 18:00:00,2703.5,0,0,0,1,0,0,0,-0.51
2025-09-15 19:00:00,2713.3,0,0,0,1,0,0,0,0.36
2025-09-15 20:00:00,2714.7,0,0,0,1,0,0,0,0.05
2025-09-15 21:00:00,2715.9,0,0,0,1,0,0,0,0.04
2025-09-15 22:00:00,2716.7,0,0,0,1,0,0,0,0.03
2025-09-15 23:00:00,2718.1,0,0,0,1,0,0,0,0.05
2025-09-16 00:00:00,2720.1,0,0,0,1,0,0,0,0.07
2025-09-16 01:00:00,2727.6,0,0,0,1,0,0,0,0.28
2025-09-16 02:00:00,2735.5,0,0,0,1,0,0,0,0.29
2025-09-16 03:00:00,2735.7,0,0,0,1,0,0,0,0.01
2025-09-16 04:00:00,2735.3,0,0,0,1,0,0,0,-0.01
2025-09-16 05:00:00,2735.3,0,0,0,1,0,0,0,0.0
2025-09-16 06:00:00,2735.8,0,0,0,1,0,0,0,0.02
2025-09-16 07:00:00,2740.9,0,0,0,1,0,0,0,0.19
2025-09-16 08:00:00,2741.0,0,0,0,1,0,0,0,0.0
2025-09-16 09:00:00,2741.6,0,0,0,1,0,0,0,0.02
2025-09-16 10:00:00,2743.4,0,0,0,1,0,0,0,0.07
2025-09-16 11:00:00,2745.8,0,0,0,1,0,0,0,0.09
2025-09-16 12:00:00,2759.4,0,0,0,1,0,0,0,0.5
2025-09-16 13:00:00,2762.3,0,0,0,1,0,0,0,0.11
2025-09-16 14:00:00,2763.6,0,0,0,1,0,0,0,0.05
2025-09-16 15:00:00,2788.3,0,0,0,1,0,0,0,0.89
2025-09-16 16:00:00,2790.2,0,0,0,1,0,0,0,0.07
2025-09-16 17:00:00,2797.8,0,0,0,1,0,0,0,0.27
2025-09-16 18:00:00,2800.0,0,0,0,1,0,0,0,0.08
2025-09-16 19:00:00,2801.2,0,0,0,1,0,0,0,0.04
2025-09-16 20:00:00,2802.6,0,0,0,1,0,0,0,0.05
2025-09-16 21:00:00,2803.6,0,0,0,1,0,0,0,0.04
2025-09-16 22:00:00,2804.3,0,0,0,1,0,0,0,0.02
2025-09-16 23:00:00,2804.3,0,0,0,1,0,0,0,0.0
2025-09-17 00:00:00,2805.6,0,0,0,1,0,0,0,0.05
2025-09-17 01:00:00,2804.6,0,0,0,1,0,0,0,-0.04
2025-09-17 02:00:00,2804.8,0,0,0,1,0,0,0,0.01
2025-09-17 03:00:00,2804.8,0,0,0,1,0,0,0,0.0
2025-09-17 04:00:00,2804.6,0,0,0,1,0,0,0,-0.01
2025-09-17 05:00:00,2804.7,0,0,0,1,0,0,0,0.0
2025-09-17 06:00:00,2804.7,0,0,0,1,0,0,0,0.0
2025-09-17 07:00:00,2805.0,0,0,0,1,0,0,0,0.01
2025-09-17 08:00:00,2810.2,0,0,0,1,0,0,0,0.19
2025-09-17 09:00:00,2804.8,0,0,0,1,0,0,0,-0.19
2025-09-17 10:00:00,2805.1,0,0,0,1,0,0,0,0.01
2025-09-17 11:00:00,2810.2,0,0,0,1,0,0,0,0.18
2025-09-17 12:00:00,2803.2,0,0,0,1,0,0,0,-0.25
2025-09-17 13:00:00,2804.1,0,0,0,1,0,0,0,0.03
2025-09-17 14:00:00,2802.7,0,0,0,1,0,0,0,-0.05
2025-09-17 15:00:00,2804.1,0,0,0,1,0,0,0,0.05
2025-09-17 16:00:00,2802.6,0,0,0,1,0,0,0,-0.05
2025-09-17 17:00:00,2802.9,0,0,0,1,0,0,0,0.01
2025-09-17 18:00:00,2805.3,0,0,0,1,0,0,0,0.09
2025-09-17 19:00:00,2806.1,0,0,0,1,0,0,0,0.03
2025-09-17 20:00:00,2806.5,0,0,0,0,0,0,1,0.01
2025-09-17 21:00:00,2806.4,0,0,0,0,0,0,1,-0.0
2025-09-17 22:00:00,2806.6,0,0,0,0,0,0,1,0.01
2025-09-17 23:00:00,2806.7,0,0,0,0,0,0,1,0.0
2025-09-18 00:00:00,2806.5,0,0,0,0,0,0,1,-0.01
2025-09-18 01:00:00,2806.5,0,0,0,0,0,0,1,0.0
2025-09-18 02:00:00,2806.9,0,0,0,0,0,0,1,0.01
2025-09-18 03:00:00,2805.9,0,0,0,0,0,0,1,-0.04
2025-09-18 04:00:00,2805.9,0,0,0,0,0,0,1,0.0
2025-09-18 05:00:00,2805.5,0,0,0,0,0,0,1,-0.01
2025-09-18 06:00:00,2805.5,0,0,0,0,0,0,1,0.0
2025-09-18 07:00:00,2805.3,0,0,0,0,0,0,1,-0.01
2025-09-18 08:00:00,2805.5,0,0,0,0,0,0,1,0.01
2025-09-18 09:00:00,2805.7,0,0,0,0,0,0,1,0.01
2025-09-18 10:00:00,2805.6,0,0,0,0,0,0,1,-0.0
2025-09-18 11:00:00,2806.1,0,0,0,0,0,0,1,0.02
2025-09-18 12:00:00,2805.6,0,0,0,0,0,0,1,-0.02
2025-09-18 13:00:00,2805.7,0,0,0,0,0,0,1,0.0
2025-09-18 14:00:00,2693.0,0,0,0,0,0,0,1,-4.02
2025-09-18 15:00:00,2694.5,0,0,0,0,0,0,1,0.06
2025-09-18 16:00:00,2697.2,0,0,0,0,0,0,1,0.1
2025-09-18 17:00:00,2699.5,0,0,0,0,0,0,1,0.09
2025-09-18 18:00:00,2699.3,0,0,0,0,0,0,1,-0.01
2025-09-18 19:00:00,2698.9,0,0,0,0,0,0,1,-0.01
2025-09-18 20:00:00,2712.0,0,0,0,0,0,0,1,0.49
2025-09-18 21:00:00,2718.1,0,0,0,0,0,0,1,0.22
2025-09-18 22:00:00,2711.5,0,0,0,0,0,0,1,-0.24
2025-09-18 23:00:00,2695.2,0,0,0,0,0,0,1,-0.6
2025-09-19 00:00:00,2694.6,0,0,0,0,0,0,1,-0.02
2025-09-19 01:00:00,2694.4,0,0,0,0,0,0,1,-0.01
2025-09-19 02:00:00,2698.4,0,0,0,0,0,0,1,0.15
2025-09-19 03:00:00,2694.5,0,0,0,0,0,0,1,-0.14
2025-09-19 04:00:00,2694.9,0,0,0,0,0,0,1,0.01
2025-09-19 05:00:00,2695.0,0,0,0,0,0,0,1,0.0
2025-09-19 06:00:00,2694.6,0,0,0,0,0,0,1,-0.01
2025-09-19 07:00:00,2694.5,0,0,0,0,0,0,1,-0.0
2025-09-19 08:00:00,2694.1,0,0,0,0,0,0,1,-0.01
2025-09-19 09:00:00,2692.9,0,0,0,0,0,0,1,-0.04
2025-09-19 10:00:00,2614.1,0,0,0,0,0,0,1,-2.93
2025-09-19 11:00:00,2614.5,0,0,0,0,0,0,1,0.02
2025-09-19 12:00:00,2615.8,0,0,0,0,0,0,1,0.05
2025-09-19 13:00:00,2616.4,0,0,0,0,0,0,1,0.02
2025-09-19 14:00:00,2623.5,0,0,0,0,0,0,1,0.27
2025-09-19 15:00:00,2623.1,0,0,0,0,0,0,1,-0.02
2025-09-19 16:00:00,2624.8,0,0,0,0,0,0,1,0.06
2025-09-19 17:00:00,2624.9,0,0,0,0,0,0,1,0.0
2025-09-19 18:00:00,2625.1,0,0,0,0,0,0,1,0.01
2025-09-19 19:00:00,2623.2,0,0,0,0,0,0,1,-0.07
2025-09-19 20:00:00,2617.1,0,0,0,0,0,0,1,-0.23
2025-09-19 21:00:00,2600.1,0,0,0,0,0,0,1,-0.65
2025-09-19 22:00:00,2297.2,0,0,0,0,0,0,1,-11.65
2025-09-19 23:00:00,2357.6,0,0,0,0,0,0,1,2.63
2025-09-20 00:00:00,2304.5,0,0,0,0,0,0,1,-2.25
2025-09-20 01:00:00,2305.6,0,0,0,0,0,0,1,0.05
2025-09-20 02:00:00,2307.2,0,0,0,0,0,0,1,0.07
2025-09-20 03:00:00,2308.0,0,0,0,0,0,0,1,0.03
2025-09-20 04:00:00,2308.2,0,0,0,0,0,0,1,0.01
2025-09-20 05:00:00,2311.0,0,0,0,0,0,0,1,0.12
2025-09-20 06:00:00,2317.8,0,0,0,0,0,0,1,0.29
2025-09-20 07:00:00,2318.8,0,0,0,0,0,0,1,0.04
2025-09-20 08:00:00,2327.1,0,0,0,0,0,0,1,0.36
2025-09-20 09:00:00,2328.7,0,0,0,0,0,0,1,0.07
2025-09-20 10:00:00,2334.7,0,0,0,0,0,0,1,0.26
2025-09-20 11:00:00,2341.7,0,0,0,0,0,0,1,0.3
2025-09-20 12:00:00,2350.6,0,0,0,0,0,0,1,0.38
2025-09-20 13:00:00,2371.5,0,0,0,0,0,0,1,0.89
2025-09-20 14:00:00,2399.2,0,0,0,0,0,0,1,1.17
2025-09-20 15:00:00,2446.9,0,0,0,0,0,0,1,1.99
2025-09-20 16:00:00,2464.8,0,0,0,0,0,0,1,0.73
2025-09-20 17:00:00,2506.1,0,0,0,0,0,0,1,1.68
2025-09-20 18:00:00,2507.4,0,0,0,0,0,0,1,0.05
2025-09-20 19:00:00,2518.7,0,0,0,0,0,0,1,0.45
2025-09-20 20:00:00,2534.2,0,0,0,0,0,0,1,0.62
2025-09-20 21:00:00,2520.8,0,0,0,0,0,0,1,-0.53
2025-09-20 22:00:00,2554.7,0,0,0,0,0,0,1,1.34
2025-09-20 23:00:00,2548.5,0,0,0,0,0,0,1,-0.24
2025-09-21 00:00:00,2549.1,0,0,0,0,0,0,1,0.02
2025-09-21 01:00:00,2549.6,0,0,0,0,0,0,1,0.02
2025-09-21 02:00:00,2550.9,0,0,0,0,0,0,1,0.05
2025-09-21 03:00:00,2549.0,0,0,0,0,0,0,1,-0.07
2025-09-21 04:00:00,2548.9,0,0,0,0,0,0,1,-0.0
2025-09-21 05:00:00,2549.1,0,0,0,0,0,0,1,0.01
2025-09-21 06:00:00,2548.9,0,0,0,0,0,0,1,-0.01
2025-09-21 07:00:00,2549.2,0,0,0,0,0,0,1,0.01
2025-09-21 08:00:00,2548.6,0,0,0,0,0,0,1,-0.02
2025-09-21 09:00:00,2555.7,0,0,0,0,0,0,1,0.28
2025-09-21 10:00:00,2549.6,0,0,0,0,0,0,1,-0.24
2025-09-21 11:00:00,2555.2,0,0,0,0,0,0,1,0.22
2025-09-21 12:00:00,2556.0,0,0,0,0,0,0,1,0.03
2025-09-21 13:00:00,2562.1,0,0,0,0,0,0,1,0.24
2025-09-21 14:00:00,2506.4,0,0,0,0,0,0,1,-2.17
2025-09-21 15:00:00,2508.0,0,0,0,0,0,0,1,0.06
2025-09-21 16:00:00,2508.2,0,0,0,0,0,0,1,0.01
2025-09-21 17:00:00,2509.7,0,0,0,0,0,0,1,0.06
2025-09-21 18:00:00,2518.0,0,0,0,0,0,0,1,0.33
2025-09-21 19:00:00,2526.4,0,0,0,0,0,0,1,0.33
2025-09-21 20:00:00,2527.1,0,0,0,0,0,0,1,0.03
2025-09-21 21:00:00,2527.2,0,0,0,0,0,0,1,0.0
2025-09-21 22:00:00,2526.2,0,0,0,0,0,0,1,-0.04
2025-09-21 23:00:00,2510.1,0,0,0,0,0,0,1,-0.64
2025-09-22 00:00:00,2508.2,0,0,0,0,0,0,1,-0.08
2025-09-22 01:00:00,2507.9,0,0,0,0,0,0,1,-0.01
2025-09-22 02:00:00,2507.9,0,0,0,0,0,0,1,0.0
2025-09-22 03:00:00,2506.2,0,0,0,0,0,0,1,-0.07
2025-09-22 04:00:00,2506.3,0,0,0,0,0,0,1,0.0
2025-09-22 05:00:00,2506.2,0,0,0,0,0,0,1,-0.0
2025-09-22 06:00:00,2506.4,0,0,0,0,0,0,1,0.01
2025-09-22 07:00:00,2506.8,0,0,0,0,0,0,1,0.02
2025-09-22 08:00:00,2506.7,0,0,0,0,0,0,1,-0.0
2025-09-22 09:00:00,2506.8,0,0,0,0,0,0,1,0.0
2025-09-22 10:00:00,2507.1,0,0,0,0,0,0,1,0.01
2025-09-22 11:00:00,2510.9,0,0,0,0,0,0,1,0.15
2025-09-22 12:00:00,2507.3,0,0,0,0,0,0,1,-0.14
2025-09-22 13:00:00,2507.1,0,0,0,0,0,0,1,-0.01
2025-09-22 14:00:00,2507.0,0,0,0,0,0,0,1,-0.0
2025-09-22 15:00:00,2507.0,0,0,0,0,0,0,1,0.0
2025-09-22 16:00:00,2508.8,0,0,0,0,0,0,1,0.07
2025-09-22 17:00:00,2400.1,0,0,0,0,0,0,1,-4.33
2025-09-22 18:00:00,2431.8,0,0,0,0,0,0,1,1.32
2025-09-22 19:00:00,2430.2,0,0,0,0,0,0,1,-0.07
2025-09-22 20:00:00,2430.1,0,0,0,0,0,0,1,-0.0
2025-09-22 21:00:00,2431.9,0,0,0,0,0,0,1,0.07
2025-09-22 22:00:00,2432.4,0,0,0,0,0,0,1,0.02
2025-09-22 23:00:00,2438.3,0,0,0,0,0,0,1,0.24
2025-09-23 00:00:00,2431.3,0,1,0,0,0,0,0,-0.29
2025-09-23 01:00:00,2431.2,0,1,0,0,0,0,0,-0.0
2025-09-23 02:00:00,2432.1,0,1,0,0,0,0,0,0.04
2025-09-23 03:00:00,2432.9,0,1,0,0,0,0,0,0.03
2025-09-23 04:00:00,2434.3,0,1,0,0,0,0,0,0.06
2025-09-23 05:00:00,2435.0,0,1,0,0,0,0,0,0.03
