Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Derpy,Mayor_Diana,Mayor_Diaz,Mayor_Finnegan,Mayor_Foxy,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Mayor_Scorpius,Price_Change_Percent
2023-01-01 00:00:00,1483057.1,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-01-01 06:00:00,1478927.2,0,0,0,0,0,0,0,0,0,0,0,-0.28
2023-01-01 12:00:00,1308048.2,0,0,0,0,0,0,0,0,0,0,0,-11.55
2023-01-01 18:00:00,1407000.1,0,0,0,0,0,0,0,0,0,0,0,7.56
2023-01-02 00:00:00,1411222.2,0,0,0,0,0,0,0,0,0,0,0,0.3
2023-01-02 06:00:00,1416605.4,0,0,0,0,0,0,0,0,0,0,0,0.38
2023-01-02 12:00:00,1435000.4,0,0,0,0,0,0,0,0,0,0,0,1.3
2023-01-02 18:00:00,1435002.4,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-01-03 00:00:00,1431199.5,0,0,0,0,0,0,0,0,0,0,0,-0.27
2023-01-03 06:00:00,1355747.8,0,0,0,0,0,0,0,0,0,0,0,-5.27
2023-01-03 12:00:00,1448926.0,0,0,0,0,0,0,0,0,0,0,0,6.87
2023-01-03 18:00:00,1405136.4,0,0,0,0,0,0,0,0,0,0,0,-3.02
2023-01-04 00:00:00,1405138.6,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-01-04 06:00:00,1408671.8,0,0,0,0,0,0,0,0,0,0,0,0.25
2023-01-04 12:00:00,1408672.8,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-01-04 18:00:00,1415811.1,0,0,0,0,0,0,0,0,0,0,0,0.51
2023-01-05 00:00:00,1418785.4,0,0,0,0,0,0,0,0,0,0,0,0.21
2023-01-05 06:00:00,1418788.0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-01-05 12:00:00,1422849.0,0,0,0,0,0,0,0,0,0,0,0,0.29
2023-01-05 18:00:00,1426713.8,0,0,0,0,0,0,0,0,0,0,0,0.27
2023-01-06 00:00:00,1426723.6,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-01-06 06:00:00,1430081.0,0,0,0,0,0,0,0,0,0,0,0,0.24
2023-01-06 12:00:00,1434524.2,0,0,0,0,0,0,0,0,0,0,0,0.31
2023-01-06 18:00:00,1453447.1,0,0,0,0,0,0,0,0,0,0,0,1.32
2023-01-07 00:00:00,1454509.9,0,0,0,0,0,0,0,0,0,0,0,0.07
2023-01-07 06:00:00,1450000.5,0,0,0,0,0,0,0,0,0,0,0,-0.31
