Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Derpy,Mayor_Diana,Mayor_Diaz,Mayor_Finnegan,Mayor_Foxy,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Mayor_Scorpius,Price_Change_Percent
2024-07-02 16:00:00,441.9,0,0,0,0,0,0,0,0,1,0,0,0.0
2024-07-02 22:00:00,5250.6,0,0,0,0,0,0,0,0,1,0,0,1088.19
2024-07-03 04:00:00,50000.0,0,0,0,0,0,0,0,0,1,0,0,852.27
2024-07-03 10:00:00,105000.6,0,0,0,0,0,0,0,0,1,0,0,110.0
2024-07-03 16:00:00,134011.8,0,0,0,0,0,0,0,0,1,0,0,27.63
2024-07-03 22:00:00,1150000.0,0,0,0,0,0,0,0,0,1,0,0,758.13
2024-07-04 04:00:00,1267875.5,0,0,0,0,0,0,0,0,1,0,0,10.25
2024-07-04 10:00:00,1650000.0,0,0,0,0,0,0,0,0,1,0,0,30.14
2024-07-04 16:00:00,2000000.1,0,0,0,0,0,0,0,0,1,0,0,21.21
2024-07-04 22:00:00,2100000.7,0,0,0,0,0,0,0,0,1,0,0,5.0
2024-07-05 04:00:00,3000000.1,0,0,0,0,0,0,0,0,1,0,0,42.86
2024-07-05 10:00:00,3500000.1,0,0,0,0,0,0,0,0,1,0,0,16.67
2024-07-05 16:00:00,13197108.5,0,0,0,0,1,0,0,0,0,0,0,277.06
2024-07-05 22:00:00,16500005.0,0,0,0,0,1,0,0,0,0,0,0,25.03
2024-07-06 04:00:00,13592140.6,0,0,0,0,1,0,0,0,0,0,0,-17.62
2024-07-06 10:00:00,13592146.2,0,0,0,0,1,0,0,0,0,0,0,0.0
2024-07-06 16:00:00,12011653.8,0,0,0,0,1,0,0,0,0,0,0,-11.63
2024-07-06 22:00:00,11555557.1,0,0,0,0,1,0,0,0,0,0,0,-3.8
2024-07-07 04:00:00,8683879.3,0,0,0,0,1,0,0,0,0,0,0,-24.85
